PC	variance	ratio	cumulative
284	1.8024030925954218e-07	4.284250286759415e-09	0.9999999090191245
285	1.7410679081586803e-07	4.1384586585764205e-09	0.9999999131575832
286	1.6493189487728327e-07	3.920374531239136e-09	0.9999999170779578
287	1.618423261420747e-07	3.846936542843765e-09	0.9999999209248943
288	1.5824843178813332e-07	3.761510907592082e-09	0.9999999246864052
289	1.5567756419549696e-07	3.7004022673205392e-09	0.9999999283868075
290	1.5064550452460836e-07	3.5807919361101604e-09	0.9999999319675994
291	1.4840314905481422e-07	3.5274919162425263e-09	0.9999999354950914
292	1.4420825502494725e-07	3.427780724976739e-09	0.9999999389228721
293	1.4272091293990942e-07	3.3924271141195975e-09	0.9999999423152992
294	1.3987505226101906e-07	3.3247819825743746e-09	0.9999999456400812
295	1.3655500044510482e-07	3.2458654904599245e-09	0.9999999488859467
296	1.283242413313117e-07	3.050223171389453e-09	0.9999999519361699
297	1.2739315321220032e-07	3.0280915263779192e-09	0.9999999549642614
298	1.230923750268726e-07	2.925863505079718e-09	0.999999957890125
299	1.2101660546238158e-07	2.8765231750034345e-09	0.9999999607666481
300	1.1715293435570498e-07	2.7846850389353955e-09	0.9999999635513331
301	1.1514572890360388e-07	2.7369744542771864e-09	0.9999999662883076
302	1.099029702593963e-07	2.61235588078976e-09	0.9999999689006634
303	1.0701121104775688e-07	2.5436197568749622e-09	0.9999999714442832
304	1.0019391446409312e-07	2.3815749569993252e-09	0.9999999738258581
305	9.83398590802677e-08	2.3375046968979413e-09	0.9999999761633629
306	9.558889786751691e-08	2.2721152930902708e-09	0.9999999784354782
307	8.87392155652542e-08	2.1093006957993696e-09	0.9999999805447789
308	8.467858248454912e-08	2.0127808412124327e-09	0.9999999825575597
309	8.387696871565043e-08	1.993726757065644e-09	0.9999999845512865
310	8.143123728797814e-08	1.935592560484494e-09	0.999999986486879
311	7.964809781024164e-08	1.893207947130197e-09	0.999999988380087
312	7.459064854672547e-08	1.772994114017595e-09	0.999999990153081
313	7.034815631380604e-08	1.6721515298025028e-09	0.9999999918252326
314	6.817017626008803e-08	1.6203816914792606e-09	0.9999999934456143
315	6.303616141276353e-08	1.498347920719335e-09	0.9999999949439622
316	6.00414260196713e-08	1.4271640883161809e-09	0.9999999963711262
317	5.807744580827152e-08	1.3804809527931324e-09	0.9999999977516072
318	5.0267158532450595e-08	1.1948331049916411e-09	0.9999999989464403
319	4.432373556625591e-08	1.053559981061379e-09	1.0000000000000002
320	7.953975049136465e-17	1.890632568548817e-18	1.0000000000000002
